low,high,N,K,PD,rating,objective
697,850,1657,77,0.04646952323476162,1,log_likelihood
641,696,3197,336,0.10509852987175478,2,log_likelihood
581,640,3438,703,0.20447934845840604,3,log_likelihood
521,580,1407,536,0.38095238095238093,4,log_likelihood
408,520,301,199,0.6611295681063123,5,log_likelihood
707,850,1293,58,0.0448569218870843,1,mse
655,706,2634,242,0.09187547456340167,2,mse
608,654,3036,488,0.16073781291172595,3,mse
553,607,2240,635,0.28348214285714285,4,mse
408,552,797,428,0.5370138017565872,5,mse
